Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2013-01;RER;A;RER A;83.6;5.1
2013-01;Transilien;H;Paris Nord Ouest;93.9;15.4
2013-02;RER;C;RER C;91.8;11.2
2013-03;RER;A;RER A;84.0;5.3
2013-03;Transilien;R;Paris Sud Est;89.2;8.3
2013-05;RER;C;RER C;92.3;12.0
2013-05;RER;D;RER D;87.1;6.8
2013-05;RER;E;RER E;95.5;21.2
2013-05;Transilien;N;Paris Montparnasse;96.1;24.6
2013-06;RER;A;RER A;83.4;5.0
2013-06;Transilien;K;Paris Nord Crépy;71.9;2.6
2013-07;Transilien;L;Paris Saint-Lazare Sud;87.2;6.8
2013-07;Transilien;R;Paris Sud Est;88.5;7.7
2013-07;Transilien;U;La Verrière - La Défense;94.3;16.5
2013-08;RER;B;RER B;89.9;8.9
2013-08;Transilien;H;Paris Nord Ouest;95.4;20.7
2013-08;Transilien;N;Paris Montparnasse;96.0;24.0
2013-10;Transilien;K;Paris Nord Crépy;81.2;4.3
2013-11;RER;B;RER B;77.9;3.5
2013-12;RER;D;RER D;85.5;5.9
2013-12;Transilien;P;Paris Est;91.0;10.1
2014-01;Transilien;U;La Verrière - La Défense;93.2;13.7
2014-03;Transilien;K;Paris Nord Crépy;87.9;7.3
2014-03;Transilien;P;Paris Est;88.8;7.9
2014-04;RER;A;RER A;85.7;6.0
2014-04;RER;E;RER E;93.9;15.4
2014-04;Transilien;H;Paris Nord Ouest;95.7;22.3
2014-04;Transilien;J;Paris Saint-Lazare Nord;88.9;8.0
2014-04;Transilien;R;Paris Sud Est;88.5;7.7
2014-05;Transilien;H;Paris Nord Ouest;96.9;31.3
2014-05;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8
2014-06;RER;C;RER C;87.3;6.9
2014-06;Transilien;K;Paris Nord Crépy;79.6;3.9
2014-07;Transilien;R;Paris Sud Est;89.7;8.7
2014-08;Transilien;K;Paris Nord Crépy;91.3;10.5
2014-09;Transilien;H;Paris Nord Ouest;96.3;26.0
2014-10;Transilien;H;Paris Nord Ouest;93.7;14.9
2014-11;RER;C;RER C;86.735;6.5
2014-11;Transilien;H;Paris Nord Ouest;94.748;18.0
2014-11;Transilien;U;La Verrière - La Défense;88.863;8.0
2014-12;Transilien;K;Paris Nord Crépy;83.6;5.1
2014-12;Transilien;R;Paris Sud Est;87.6;7.1
2015-01;RER;A;RER A;74.5;2.9
2015-01;RER;B;RER B;88.5;7.7
2015-01;Transilien;J;Paris Saint-Lazare Nord;87.233;6.8
2015-02;Transilien;N;Paris Montparnasse;93.771;15.1
2015-02;Transilien;R;Paris Sud Est;91.222;10.4
2015-03;RER;D;RER D;86.308;6.3
2015-03;RER;E;RER E;96.326;26.2
2015-03;Transilien;J;Paris Saint-Lazare Nord;87.498;7.0
2015-03;Transilien;U;La Verrière - La Défense;95.922;23.5
2015-04;Transilien;L;Paris Saint-Lazare Sud;81.752;4.5
2015-04;Transilien;P;Paris Est;87.956;7.3
2015-05;RER;C;RER C;91.445;10.7
2015-05;Transilien;N;Paris Montparnasse;93.781;15.1
2015-06;Transilien;U;La Verrière - La Défense;93.659;14.8
2015-07;RER;D;RER D;87.7;7.1
2015-07;Transilien;J;Paris Saint-Lazare Nord;86.9;6.6
2015-07;Transilien;K;Paris Nord Crépy;89.4;8.4
2015-08;RER;A;RER A;82.997;4.9
2015-08;RER;C;RER C;93.1;13.5
2015-08;RER;E;RER E;94.7;17.9
2015-08;Transilien;P;Paris Est;90.8;9.9
2015-08;Transilien;U;La Verrière - La Défense;95.9;23.4
2015-09;Transilien;H;Paris Nord Ouest;95.658;22.0
2015-09;Transilien;N;Paris Montparnasse;92.971;13.2
2015-10;Transilien;U;La Verrière - La Défense;91.457;10.7
2015-11;RER;D;RER D;81.6;4.4
2015-11;Transilien;R;Paris Sud Est;82.2;4.6
2015-11;Transilien;U;La Verrière - La Défense;90.5;9.5
2015-12;RER;D;RER D;88.5;7.7
