Code_gare,Code_UIC,nom,postal,Code_Commune,Commune,Code _departement,Departement,Longitude,Latitude,Niveau_de_service,RG,nom_gare,Region_SNCF,UT,Nbre_plateformes,WGS_84
2207,87319012,Aix-en-Provence TGV,13592,1,Aix-en-Provence,13,Bouches-du-Rhône,5.317534,43.455237,3,GARE AIX EN PROVENCE TGV,Aix-en-Provence TGV,REGION PROVENCE ALPES COTE D'AZUR,AIX TGV P GARE PLATEAU D ARBOIS,1,43.455237
1586,87484006,Angers Saint-Laud,49100,7,Angers,49,Maine-et-Loire,-0.556820,47.464647,3,GARE ANGERS ST LAUD,Angers Saint-Laud,REGION PAYS DE LA LOIRE,ANGERS ST LAUD GARE,1,47.464647
1256,87583005,Angoulême,16000,15,Angoulême,16,Charente,0.164608,45.653572,2,GARE ANGOULEME,Angoulême,REGION POITOU-CHARENTES AQUITAINE,ANGOULEME P GARE,1,45.653572
357,87746008,Annecy,74000,10,Annecy,74,Haute-Savoie,6.121835,45.901965,2,GARE ANNECY,Annecy,REGION ALPES,ANNECY GARE,1,45.901965
2189,87342014,Arras,62000,41,Arras,62,Pas-de-Calais,2.781942,50.286673,2,GARE ARRAS,Arras,REGION NORD PAS DE CALAIS,ARRAS P GARE,1,50.286673
2208,87318964,Avignon TGV,84000,7,Avignon,84,Vaucluse,4.786079,43.921586,3,GARE AVIGNON TGV,Avignon TGV,REGION PROVENCE ALPES COTE D'AZUR,AVIGNON TGV,2,43.921586
368,87745000,Bellegarde-sur-Valserine,1200,33,Bellegarde-sur-Valserine,1,Ain,5.823483,46.109425,2,GARES B ALPES,Bellegarde-sur-Valserine,REGION ALPES,BELLEGARDE (AIN) GARE,1,46.109425
2318,87300863,Besançon Franche-Comté TGV,25870,35,Auxons,25,Doubs,5.953195095062256,47.307361058531725,2,GARE BESANCON TGV,Besançon Franche-Comté TGV,REGION LORRAINE,BESANCON FRANCHE-COMTE TGV P GARE,1,47.307361058531725
1303,87581009,Bordeaux Saint-Jean,33800,63,Bordeaux,33,Gironde,-0.556697,44.825873,3,GARE BORDEAUX ST JEAN,Bordeaux Saint-Jean,REGION POITOU-CHARENTES AQUITAINE,BORDEAUX ST JEAN GARE,1,44.825873
1702,87474007,Brest,29200,19,Brest,29,Finistère,-4.478903,48.388110,2,GARE BREST,Brest,REGION BRETAGNE,BREST GARE,1,48.38811
416,87741009,Chambéry - Challes-les-Eaux,73010,65,Chambéry,73,Savoie,5.919547,45.571302,2,GARE CHAMBERY CHALLES LES EAUX,Chambéry - Challes-les-Eaux,REGION ALPES,CHAMBERY CHALLES LES EAUX GARE,1,45.571302
676,87713040,Dijon,21000,231,Dijon,21,Côte-d'Or,5.027208,47.323370,3,GARE DIJON VILLE,Dijon,REGION BOURGOGNE FRANCHE-COMTE,DIJON VILLE GARE,1,47.32337
2143,87345009,Douai,59500,178,Douai,59,Nord,3.089986,50.371677,2,GARE DOUAI,Douai,REGION NORD PAS DE CALAIS,DOUAI GARE,1,50.371677
2445,87281006,Dunkerque,59140,183,Dunkerque,59,Nord,2.368961,51.030470,2,GARE DUNKERQUE,Dunkerque,REGION NORD PAS DE CALAIS,DUNKERQUE GARE,1,51.03047
324,87747006,Grenoble,38000,185,Grenoble,38,Isère,5.714584,45.191493,3,GARE GRENOBLE,Grenoble,REGION ALPES,GRENOBLE GARE,1,45.191493
1571,87485003,La Rochelle,17000,300,Rochelle,17,Charente-Maritime,-1.145305,46.15269,2,GARE LA ROCHELLE VILLE,La Rochelle,REGION POITOU-CHARENTES AQUITAINE,LA ROCHELLE VILLE GARE,1,46.15269
1643,87478404,Laval,53000,130,Laval,53,Mayenne,-0.760907,48.076206,2,GARE LAVAL,Laval,REGION PAYS DE LA LOIRE,LAVAL GARE,1,48.076206
746,87694109,Le Creusot - Montceau-les-Mines - Montchanin TGV,71210,187,Écuisses,71,Saône-et-Loire,4.499513,46.765343,2,GARE LE CREUSOT MONTCEAU MONTC,Le Creusot - Montceau-les-Mines - Montchanin TGV,REGION DE PARIS-SUD-EST,LE CREUSOT MONTCEAU MONTCHANIN P GAR.TGV,1,46.765343
1917,87396002,Le Mans,72000,181,Mans,72,Sarthe,0.192578,47.995689,3,GARE LE MANS,Le Mans,REGION PAYS DE LA LOIRE,LE MANS GARE,1,47.995689
2563,87223263,Lille Europe,59777,350,Lille,59,Nord,3.075796,50.639224,3,GARE LILLE EUROPE,Lille Europe,REGION NORD PAS DE CALAIS,LILLE EUROPE GARE,1,50.639224
1417,87571471,Loches,37600,132,Loches,37,Indre-et-Loire,1.000467,47.130464,1,GARES B CENTRE,Loches,REGION CENTRE,LOCHES GARE,1,47.130464
534,87723197,Lyon Part Dieu,69003,123,Lyon,69,Rhône,4.859355,45.760559,3,GARE LYON PART DIEU,Lyon Part Dieu,REGION RHONE-ALPES,LYON PART DIEU GARE TGV,1,45.760559
300,87751008,Marseille Saint-Charles,13232,55,Marseille,13,Bouches-du-Rhône,5.380407,43.302666,3,GARE MARSEILLE ST CHARLES,Marseille Saint-Charles,REGION PROVENCE ALPES COTE D'AZUR,MARSEILLE ST CHARLES GARE,1,43.302666
2718,87192039,Metz,57000,463,Metz,57,Moselle,6.176593,49.109545,3,GARE METZ VILLE,Metz,REGION LORRAINE,METZ ENTRETIEN VILLE GARE,1,49.109545
130,87773002,Montpellier Saint-Roch,34011,172,Montpellier,34,Hérault,3.880674,43.604738,3,GARE MONTPELLIER,Montpellier Saint-Roch,REGION LANGUEDOC-ROUSSILLON,MONTPELLIER GARE,1,43.604738
2808,87182063,Mulhouse,68053,224,Mulhouse,68,Haut-Rhin,7.342396,47.742224,3,GARE MULHOUSE VILLE,Mulhouse,REGION ALSACE,MULHOUSE VILLE P GARE,1,47.742224
3002,87141002,Nancy,54000,395,Nancy,54,Meurthe-et-Moselle,6.174583,48.689861,3,GARE NANCY VILLE,Nancy,REGION LORRAINE,NANCY VILLE GARE,1,48.689861
1634,87481002,Nantes,44041,109,Nantes,44,Loire-Atlantique,-1.542356,47.216148,3,GARE NANTES,Nantes,REGION PAYS DE LA LOIRE,NANTES ORLEANS GARE,1,47.216148
232,87756056,Nice,6008,88,Nice,6,Alpes-Maritimes,7.261904,43.704556,3,GARE NICE VILLE,Nice,REGION PROVENCE ALPES COTE D'AZUR,NICE VILLE GARE,1,43.704556
118,87775007,Nîmes,30000,189,Nîmes,30,Gard,4.365845,43.832291,2,GARE NIMES,Nîmes,REGION LANGUEDOC-ROUSSILLON,NIMES GARE,1,43.832291
3070,87113001,Paris Est,75010,56,Paris,75,Paris,2.358424,48.876742,3,GARE PARIS EST,Paris Est,REGION DE PARIS-EST,PARIS EST GARE,1,48.876742
753,87686006,Paris Gare de Lyon Hall 1 & 2,75012,56,Paris,75,Paris,2.373520,48.844888,3,GARE PARIS GARE DE LYON,Paris Gare de Lyon,REGION DE PARIS-SUD-EST,PARIS LYON GARE,2,48.844888
2561,87271007,Paris Gare du Nord,75010,56,Paris,75,Paris,2.355151,48.880185,3,GARE PARIS NORD,Paris Gare du Nord,REGION DE PARIS-NORD,PARIS NORD GARE,4,48.880185
2561,87271031,Paris Gare du Nord Surface Banlieue,75010,56,Paris,75,Paris,2.355151,48.880185,2,GARE PARIS NORD,Paris Gare du Nord,REGION DE PARIS-NORD,PARIS NORD GARE,4,48.880185
1999,87391003,Paris Montparnasse Hall 1 & 2,75015,56,Paris,75,Paris,2.320514,48.841172,3,GARE PARIS MONTPARNASSE,Paris Montparnasse,REGION DE PARIS RIVE GAUCHE,PARIS MONTPARNASSE PORTE OCEANE P GARE,2,48.841172
1999,87391102,Paris Montparnasse Vaugirard,75015,56,Paris,75,Paris,2.320514,48.841172,,GARE PARIS MONTPARNASSE,Paris Montparnasse,REGION DE PARIS RIVE GAUCHE,PARIS MONTPARNASSE PORTE OCEANE P GARE,2,48.841172
41,87784009,Perpignan,66027,136,Perpignan,66,Pyrénées-Orientales,2.879779,42.696292,2,GARE PERPIGNAN,Perpignan,REGION LANGUEDOC-ROUSSILLON,PERPIGNAN GARE,1,42.696292
1367,87575001,Poitiers,86000,194,Poitiers,86,Vienne,0.333241,46.582275,2,GARE POITIERS,Poitiers,REGION POITOU-CHARENTES AQUITAINE,POITIERS GARE,1,46.582275
1698,87474098,Quimper,29000,232,Quimper,29,Finistère,-4.092103,47.994455,2,GARE QUIMPER,Quimper,REGION BRETAGNE,QUIMPER GARE,1,47.994455
2905,87171009,Reims,51100,454,Reims,51,Marne,4.024435,49.258978,2,GARE REIMS,Reims,REGION CHAMPAGNE-ARDENNE,REIMS GARE,1,49.258978
1772,87471003,Rennes,35005,238,Rennes,35,Ille-et-Vilaine,-1.672744,48.103517,3,GARE RENNES,Rennes,REGION BRETAGNE,RENNES P GARE,1,48.103517
1651,87478107,Saint-Malo,35400,288,Saint-Malo,35,Ille-et-Vilaine,-2.004158,48.646859,2,GARE ST MALO,Saint-Malo,REGION BRETAGNE,SAINT MALO GARE,1,48.646859
1426,87571240,Saint-Pierre-des-Corps,37700,233,Saint-Pierre-des-Corps,37,Indre-et-Loire,0.723550,47.386099,3,GARE ST PIERRE DES CORPS,Saint-Pierre-des-Corps,REGION CENTRE,SAINT PIERRE DES CORPS GARE,1,47.386099
2669,87212027,Strasbourg,67000,482,Strasbourg,67,Bas-Rhin,7.734584,48.584967,3,GARE STRASBOURG,Strasbourg,REGION ALSACE,STRASBOURG VILLE GARE,1,48.584967
251,87755009,Toulon,83000,137,Toulon,83,Var,5.929293,43.128370,2,GARE TOULON,Toulon,REGION PROVENCE ALPES COTE D'AZUR,TOULON GARE,1,43.12837
1068,87611004,Toulouse Matabiau,31500,555,Toulouse,31,Haute-Garonne,1.453616,43.611206,3,GARE TOULOUSE MATABIAU,Toulouse Matabiau,REGION MIDI PYRENEES,TOULOUSE MATABIAU GARE,1,43.611206
2400,87286542,Tourcoing,59200,599,Tourcoing,59,Nord,3.16804,50.71683,2,GARE TOURCOING,Tourcoing,REGION NORD PAS DE CALAIS,TOURCOING GARE,1,50.71683
1428,87571000,Tours,37000,261,Tours,37,Indre-et-Loire,0.693703,47.389781,3,GARE TOURS,Tours,REGION CENTRE,TOURS GARE,1,47.389781
162,87763029,Valence TGV Rhône-Alpes Sud,26958,4,Alixan,26,Drôme,4.978703,44.991545,2,GARE VALENCE TGV,Valence TGV Rhône-Alpes Sud,REGION RHONE-ALPES,VALENCE TGV RHONE ALPES SUD,1,44.991545
1667,87476606,Vannes,56000,260,Vannes,56,Morbihan,-2.752450,47.665169,2,GARE VANNES,Vannes,REGION BRETAGNE,VANNES GARE,1,47.665169
3058,87113795,Villiers-sur-Marne - Le Plessis-Trévise,94350,79,Villiers-sur-Marne,94,Val-de-Marne,2.541761,48.823039,,GARES B IDF LIGNE E,Villiers-sur-Marne - Le Plessis-Trévise,REGION DE PARIS-EST,VILLIERS SUR MARNE PLESSIS TREVISE GARE,1,48.823039
