Date,Region,NTP,NTC,NTA,NTR,TR,NB,pourcentage
2013-01,Basse Normandie,3331,3297,34,311,90.5671822869275,9.60128617363344,"10,35"
2013-01,Bretagne,8776,8631,145,554,93.58127679295562,14.57942238267148,"7,96"
2013-01,Centre,9882,9687,195,812,91.61763187777431,10.929802955665023,"10,19"
2013-01,Champagne Ardenne,6648,6595,53,334,94.93555724033358,18.74550898203593,"5,82"
2013-01,Languedoc Roussillon,5024,4897,127,377,92.30140902593423,11.989389920424404,"10,03"
2013-01,Pays-de-la-Loire,10407,10195,212,713,93.00637567435017,13.298737727910238,"8,88"
2013-02,Alsace,18263,18097,166,771,95.73962535226832,22.472114137483786,"5,13"
2013-02,Basse Normandie,3013,2991,22,185,93.81477766633232,15.167567567567568,"6,87"
2013-02,Bretagne,7729,7644,85,448,94.13919413919416,16.0625,"6,89"
2013-02,Midi Pyrénées,7657,7455,202,915,87.72635814889335,7.147540983606557,"14,58"
2013-02,Nord Pas de Calais,17478,17228,250,1040,93.9633155328535,15.565384615384616,"7,38"
2013-03,Aquitaine,8167,8081,86,822,89.82799158519985,8.830900243309003,"11,11"
2013-03,Bretagne,8363,8208,155,924,88.74269005847952,7.883116883116883,"12,9"
2013-03,Haute Normandie,5444,5320,124,326,93.87218045112782,15.319018404907975,"8,26"
2013-03,Poitou Charentes,3433,3418,15,198,94.20713867758924,16.262626262626263,"6,2"
2013-03,Provence Alpes Côte d'Azur,13994,13042,952,2010,84.58825333537801,5.488557213930348,"21,16"
2013-04,Bourgogne,7492,7403,89,654,91.16574361745238,10.319571865443423,"9,91"
2013-04,Bretagne,8371,8276,95,579,93.0038666022233,13.293609671848014,"8,05"
2013-01,Alsace,20095,19874,221,897,95.4865653617792,21.15607580824972,"5,56"
2013-04,Languedoc Roussillon,4776,4518,258,417,90.7702523240372,9.83453237410072,"14,13"
2013-01,Franche Comté,5826,5744,82,553,90.37256267409472,9.386980108499095,"10,89"
2013-04,Nord Pas de Calais,18841,18585,256,1294,93.03739574926016,13.36244204018547,"8,22"
2013-01,Poitou Charentes,3269,3134,135,205,93.45883854499044,14.28780487804878,"10,4"
2013-04,Provence Alpes Côte d'Azur,13437,12168,1269,1660,86.35765943458252,6.330120481927711,"21,79"
2013-05,Bourgogne,7507,7429,78,806,89.15062592542738,8.21712158808933,"11,77"
2013-02,Languedoc Roussillon,4614,4402,212,387,91.20854157201272,10.37467700258398,"12,98"
2013-05,Franche Comté,5776,5742,34,417,92.73772204806689,12.76978417266187,"7,8"
2013-02,Limousin,3449,3406,43,219,93.57017028772754,14.552511415525114,"7,59"
2013-05,Languedoc Roussillon,4909,4666,243,335,92.8204029147021,12.928358208955224,"11,77"
2013-02,Pays-de-la-Loire,9238,9126,112,503,94.48827525750605,17.143141153081512,"6,65"
2013-05,Nord Pas de Calais,18181,17997,184,922,94.8769239317664,18.519522776572668,"6,08"
2013-02,Picardie,10215,10137,78,879,91.3287955016277,10.532423208191126,"9,36"
2013-06,Auvergne,5117,5067,50,414,91.82948490230906,11.23913043478261,"9,06"
2013-02,Rhône Alpes,28215,27910,305,3771,86.48871372268005,6.401219835587377,"14,44"
2013-06,Bourgogne,7452,6707,745,707,89.45877441479051,8.486562942008486,"19,48"
2013-03,Auvergne,5099,5045,54,371,92.6461843409316,12.598382749326143,"8,33"
2013-06,Provence Alpes Côte d'Azur,12916,11957,959,2160,81.9352680438237,4.535648148148148,"24,14"
2013-03,Basse Normandie,3283,2808,475,251,91.06125356125357,10.187250996015935,"22,11"
2013-07,Limousin,4032,3961,71,406,89.7500631153749,8.75615763546798,"11,83"
2013-03,Limousin,3989,3855,134,193,94.99351491569392,18.974093264248705,"8,19"
2013-07,Midi Pyrénées,9627,9088,539,1029,88.67737676056338,7.831875607385811,"16,28"
2013-03,Rhône Alpes,29670,29424,246,3644,87.61555193039695,7.074643249176729,"13,11"
2013-07,Pays-de-la-Loire,10018,9840,178,900,90.85365853658536,9.933333333333334,"10,76"
2013-04,Centre,9327,9241,86,561,93.92922843848068,15.472370766488414,"6,93"
2013-07,Picardie,10623,10418,205,831,92.02342100211172,11.536702767749698,"9,75"
2013-04,Franche Comté,5655,5638,17,327,94.20007094714438,16.24159021406728,"6,08"
2013-08,Basse Normandie,3721,3691,30,226,93.87699810349498,15.331858407079649,"6,87"
2013-04,Haute Normandie,5662,5616,46,245,95.6374643874644,21.92244897959184,"5,13"
2013-08,Pays-de-la-Loire,9754,9663,91,583,93.96667701541963,15.574614065180103,"6,9"
2013-04,Limousin,4030,3834,196,196,94.88784559207096,18.56122448979592,"9,72"
2013-09,Haute Normandie,5748,5598,150,217,96.12361557699178,24.79723502304148,"6,38"
2013-04,Poitou Charentes,3306,3285,21,181,94.49010654490108,17.14917127071823,"6,11"
2013-09,Languedoc Roussillon,5024,4754,270,422,91.123264619268,10.265402843601896,"13,77"
2013-05,Picardie,10505,10450,55,623,94.03827751196172,15.773675762439808,"6,45"
2013-09,Midi Pyrénées,7613,7448,165,605,91.87701396348012,11.310743801652892,"10,11"
2013-05,Provence Alpes Côte d'Azur,13312,12977,335,2244,82.70786776604763,4.782976827094474,"19,37"
2013-06,Alsace,17810,17668,142,784,95.56259904912837,21.535714285714285,"5,19"
2013-10,Bretagne,8768,8705,63,766,91.20045950603102,10.364229765013055,"9,45"
2013-06,Bretagne,7901,7837,64,280,96.42720428735484,26.98928571428572,"4,35"
2013-10,Champagne Ardenne,6453,6227,226,589,90.54119158503292,9.572156196943974,"12,62"
2013-06,Centre,9496,8977,519,650,92.75927369945416,12.81076923076923,"12,31"
2013-10,Limousin,4094,3833,261,370,90.34698669449516,9.35945945945946,"15,41"
2013-06,Champagne Ardenne,6447,6208,239,256,95.8762886597938,23.25,"7,67"
2013-10,Pays-de-la-Loire,10176,9893,283,1012,89.77054482967755,8.775691699604742,"12,72"
2013-06,Franche Comté,5398,5334,64,446,91.63854518185228,10.959641255605382,"9,44"
2013-11,Alsace,18580,18468,112,811,95.60862031622266,21.77188655980272,"4,96"
2013-06,Pays-de-la-Loire,9665,9217,448,574,93.77237712921774,15.057491289198609,"10,57"
2013-11,Auvergne,5854,5546,308,721,86.99963937973314,6.692094313453537,"17,57"
2013-06,Poitou Charentes,3308,3165,143,230,92.73301737756714,12.76086956521739,"11,27"
2013-11,Champagne Ardenne,6045,5488,557,521,90.50655976676384,9.53358925143954,"17,83"
2013-11,Midi Pyrénées,7365,7131,234,868,87.82779413826952,7.215437788018433,"14,96"
2013-07,Franche Comté,5169,5149,20,513,90.03690036900369,9.037037037037036,"10,31"
2013-12,Aquitaine,8802,8647,155,985,88.60876604602753,7.778680203045686,"12,95"
2013-07,Provence Alpes Côte d'Azur,13918,13276,642,2762,79.19554082554987,3.806661839246922,"24,45"
2013-12,Champagne Ardenne,6413,6104,309,417,93.16841415465268,13.6378896882494,"11,32"
2013-08,Alsace,15416,15283,133,418,97.26493489498137,35.5622009569378,"3,57"
2013-12,Languedoc Roussillon,4750,4468,282,485,89.14503133393018,8.212371134020618,"16,14"
2013-08,Bretagne,7479,7449,30,327,95.61014901329035,21.779816513761467,"4,77"
2013-12,Limousin,4118,3519,599,434,87.66695083830633,7.108294930875576,"25,08"
2013-08,Centre,9132,9047,85,519,94.26329169890572,16.43159922928709,"6,61"
2013-12,Nord Pas de Calais,14691,14411,280,1600,88.89737006453404,8.006875,"12,79"
2013-08,Franche Comté,4928,4906,22,282,94.25193640440276,16.397163120567377,"6,16"
2014-01,Pays-de-la-Loire,10247,10127,120,717,92.91991705342154,13.12412831241283,"8,16"
2013-08,Languedoc Roussillon,5238,5173,65,484,90.64372704426832,9.68801652892562,"10,48"
2014-01,Midi Pyrénées,8989,8796,193,1022,88.38108231014097,7.60665362035225,"13,51"
2013-08,Limousin,3919,3837,82,316,91.76439927026324,11.14240506329114,"10,15"
2014-01,Bretagne,8781,8714,67,416,95.22607298599954,19.947115384615383,"5,5"
2013-08,Midi Pyrénées,9023,8845,178,673,92.3911814584511,12.142644873699853,"9,43"
2014-02,Rhône Alpes,25636,25284,352,2638,89.56652428413226,8.584533737680061,"11,66"
2013-09,Nord Pas de Calais,18746,18215,531,1358,92.54460609387868,12.413107511045656,"10,07"
2014-02,Centre,8409,8332,77,517,93.7950072011522,15.11605415860735,"7,06"
2013-09,Picardie,11252,11181,71,713,93.62311063411144,14.681626928471248,"6,96"
2014-02,Alsace,17814,17957,129,799,95.55048170629838,21.474342928660825,"5,2"
2013-10,Aquitaine,8728,8618,110,960,88.8605244836389,7.977083333333334,"12,25"
2014-02,Languedoc Roussillon,4102,4081,21,314,92.30580740014702,11.996815286624203,"8,16"
2013-10,Languedoc Roussillon,4974,4676,298,478,89.7775876817793,8.782426778242678,"15,6"
2014-03,Midi Pyrénées,8135,7938,197,699,91.19425547996975,10.356223175965663,"11,01"
2013-10,Poitou Charentes,3527,3416,111,284,91.68618266978925,11.028169014084508,"11,19"
2014-03,Provence Alpes Côte d'Azur,13338,12790,548,1903,85.12118842845973,5.720966894377299,"18,37"
2013-10,Rhône Alpes,29798,29430,368,3531,88.00203873598369,7.334749362786746,"13,08"
2014-04,Aquitaine,8373,8239,134,629,92.36557834688676,12.098569157392689,"9,11"
2014-04,Basse Normandie,3155,3138,17,117,96.2715105162524,25.82051282051282,"4,24"
2013-11,Nord Pas de Calais,17208,16959,249,2074,87.77050533639955,7.17695274831244,"13,49"
2014-04,Centre,8955,8893,62,506,94.31013156415158,16.57509881422925,"6,34"
2013-11,Rhône Alpes,26800,26182,618,3531,86.51363532197693,6.414896629849901,"15,48"
2014-04,Limousin,4089,4057,32,156,96.15479418289377,25.00641025641025,"4,59"
2013-12,Centre,9737,9010,727,898,90.03329633740289,9.033407572383071,"16,68"
2014-04,Picardie,11129,11059,70,729,93.40808391355458,14.170096021947874,"7,17"
2013-12,Franche Comté,5517,5444,73,541,90.06245407788391,9.062846580406656,"11,12"
2013-12,Pays-de-la-Loire,9900,9409,491,947,89.93516845573387,8.93558606124604,"14,52"
2014-05,Midi Pyrénées,8431,8270,161,572,93.08343409915356,13.458041958041958,"8,69"
2013-12,Picardie,10760,10685,75,1075,89.93916705662143,8.93953488372093,"10,68"
2014-06,Alsace,16152,14943,1209,652,95.63675299471323,21.91871165644172,"11,52"
2013-12,Poitou Charentes,3519,3420,99,216,93.6842105263158,14.833333333333334,"8,95"
2014-06,Basse Normandie,2466,2287,179,178,92.21687800612156,11.848314606741573,"14,47"
2014-01,Provence Alpes Côte d'Azur,14703,13336,1367,2652,80.11397720455909,4.028657616892911,"27,33"
2014-06,Pays-de-la-Loire,7734,7525,209,554,92.63787375415282,12.583032490974729,"9,86"
2014-01,Champagne Ardenne,6388,6301,87,207,96.71480717346454,29.43961352657005,"4,6"
2014-06,Picardie,7840,7719,121,780,89.89506412747765,8.896153846153846,"11,49"
2014-01,Bourgogne,8282,8240,42,516,93.7378640776699,14.968992248062015,"6,73"
2014-07,Alsace,16628,16370,258,549,96.64630421502748,28.817850637522767,"4,85"
2014-01,Languedoc Roussillon,4903,4866,37,386,92.06740649404028,11.606217616580311,"8,62"
2014-07,Centre,9294,9177,117,791,91.38062547673532,10.601769911504425,"9,76"
2014-02,Nord Pas de Calais,17126,16820,306,1156,93.12722948870392,13.550173010380623,"8,53"
2014-07,Haute Normandie,5994,5888,106,345,94.140625,16.066666666666666,"7,52"
2014-02,Midi Pyrénées,8022,7877,145,787,90.00888663196649,9.008894536213468,"11,61"
2014-08,Auvergne,5113,5061,52,259,94.88243430152144,18.54054054054054,"6,08"
2014-02,Franche Comté,5041,4987,54,265,94.68618407860436,17.818867924528302,"6,32"
2014-08,Basse Normandie,3615,3586,29,179,95.00836586726156,19.033519553072622,"5,75"
2014-02,Champagne Ardenne,5675,5633,42,216,96.16545357713474,25.078703703703702,"4,54"
2014-08,Franche Comté,5463,5426,37,276,94.91338002211576,18.65942028985508,"5,72"
2014-02,Auvergne,5202,5152,50,283,94.50698757763976,17.204946996466433,"6,4"
2014-08,Rhône Alpes,24375,24029,346,1811,92.4632735444671,12.268360022087244,"8,84"
2014-03,Bretagne,8383,8337,46,209,97.49310303466474,38.889952153110045,"3,04"
2014-09,Bourgogne,7977,7946,31,666,91.61842436446013,10.93093093093093,"8,73"
2014-03,Champagne Ardenne,6186,5977,209,289,95.16479839384309,19.68166089965398,"8,05"
2014-09,Bretagne,7982,7929,53,345,95.64888384411654,21.98260869565217,"4,98"
2014-03,Pays-de-la-Loire,10291,10058,233,629,93.74627162457745,14.990461049284578,"8,37"
2014-09,Poitou Charentes,3545,3503,42,245,93.00599486154724,13.29795918367347,"8,09"
2014-04,Alsace,18322,18188,134,485,97.3334066417418,36.50103092783505,"3,37"
2014-09,Provence Alpes Côte d'Azur,14036,13441,595,2581,80.79755970537906,4.207671445176288,"22,62"
2014-04,Auvergne,4559,4497,62,291,93.52901934623084,14.45360824742268,"7,74"
2014-09,Rhône Alpes,28760,28490,270,2870,89.92628992628993,8.926829268292684,"10,91"
2014-04,Pays-de-la-Loire,10173,10083,90,637,93.6824357830011,14.828885400313972,"7,14"
2014-10,Auvergne,6150,6026,124,372,93.82675074676402,15.198924731182796,"8,06"
2014-05,Aquitaine,8026,7927,99,614,92.25432067617004,11.910423452768727,"8,88"
2014-10,Bourgogne,8180,8095,85,939,88.40024706609017,7.620873269435569,"12,51"
2014-05,Auvergne,5047,4956,91,333,93.28087167070218,13.882882882882884,"8,4"
2014-10,Champagne Ardenne,6008,5952,56,299,94.97647849462363,18.906354515050168,"5,9"
2014-05,Basse Normandie,3104,3072,32,161,94.75911458333331,18.080745341614907,"6,21"
2014-10,Midi Pyrénées,8541,8340,201,828,90.07194244604317,9.07246376811594,"12,04"
2014-05,Bretagne,8330,8270,60,350,95.76783555018136,22.62857142857143,"4,92"
2014-11,Aquitaine,8323,8171,152,1032,87.3699669563089,6.917635658914729,"14,22"
2014-05,Champagne Ardenne,5927,5876,51,295,94.97957794417972,18.91864406779661,"5,83"
2014-11,Auvergne,5527,5403,124,380,92.96687025726447,13.218421052631578,"9,11"
2014-05,Languedoc Roussillon,4493,4222,271,253,94.0075793462814,15.687747035573125,"11,66"
2014-11,Bretagne,7146,7087,59,517,92.70495273035137,12.707930367504837,"8,06"
2014-05,Limousin,4063,4012,51,358,91.07676969092722,10.206703910614523,"10,06"
2014-11,Limousin,3923,3875,48,390,89.93548387096774,8.935897435897436,"11,16"
2014-05,Picardie,10811,10763,48,605,94.37889064387252,16.7900826446281,"6,04"
2014-12,Basse Normandie,3126,3079,47,232,92.46508606690485,12.27155172413793,"8,92"
2014-05,Rhône Alpes,27238,26528,710,2621,90.11987334137515,9.12132773750477,"12,22"
2014-12,Languedoc Roussillon,4246,4044,202,597,85.23738872403561,5.773869346733668,"18,81"
2014-06,Aquitaine,6195,5781,414,630,89.10223144784639,8.176190476190476,"16,85"
2014-12,Provence Alpes Côte d'Azur,13478,12367,1111,2691,78.24047869329668,3.59568933481977,"28,2"
2014-06,Centre,7752,6641,1111,577,91.31154946544196,10.50953206239168,"21,77"
2015-01,Aquitaine,8944,8636,308,1014,88.25845298749421,7.516765285996056,"14,78"
2014-06,Midi Pyrénées,6320,6119,201,612,89.99836574603694,8.998366013071895,"12,86"
2015-01,Bretagne,8409,8361,48,494,94.09161583542638,15.925101214574898,"6,44"
